"","PERC_N.9.comps"
"Wave_1689",-0.462585541604535
"Wave_1690",-0.464895751453825
"Wave_1691",-0.46286350537354
"Wave_1692",-0.4520127224559
"Wave_1693",-0.419187797323821
"Wave_1694",-0.371714469161773
"Wave_1695",-0.325893582339344
"Wave_1696",-0.274682909951532
"Wave_1697",-0.217062615035438
"Wave_1698",-0.152494921395685
"Wave_1699",-0.0874703416121071
"Wave_1700",-0.00863642590130367
"Wave_1701",0.0929398392040384
"Wave_1702",0.184493795745114
"Wave_1703",0.270128016350078
"Wave_1704",0.370188728781028
"Wave_1705",0.47810833406855
"Wave_1706",0.579088135976327
"Wave_1707",0.679046104263199
"Wave_1708",0.780030287177766
"Wave_1709",0.860889094321354
"Wave_1710",0.930382956299785
"Wave_1711",1.0120780551696
"Wave_1712",1.08194023869585
"Wave_1713",1.12467504001044
"Wave_1714",1.15167861931746
"Wave_1715",1.16718334011551
"Wave_1716",1.17245953179214
"Wave_1717",1.15574074330663
"Wave_1718",1.1088531195903
"Wave_1719",1.04199772760052
"Wave_1720",0.960485782730178
"Wave_1721",0.873575637503245
"Wave_1722",0.784550022392953
"Wave_1723",0.68376299555636
"Wave_1724",0.544936946304394
"Wave_1725",0.375931949373923
"Wave_1726",0.214628099717372
"Wave_1727",0.0603817570628754
"Wave_1728",-0.0972452216516537
"Wave_1729",-0.236708687392177
"Wave_1730",-0.36614065981668
"Wave_1731",-0.50061772435707
"Wave_1732",-0.612166853773374
"Wave_1733",-0.701460534149356
"Wave_1734",-0.77350740503572
"Wave_1735",-0.818019179416987
"Wave_1736",-0.840180154738456
"Wave_1737",-0.850847274738365
"Wave_1738",-0.840993087515843
"Wave_1739",-0.823324810034225
"Wave_1740",-0.803203477853332
"Wave_1741",-0.756125159595821
"Wave_1742",-0.693455741369769
"Wave_1743",-0.631953074246771
"Wave_1744",-0.548226934227441
"Wave_1745",-0.468492963020496
"Wave_1746",-0.3968210519533
"Wave_1747",-0.314758707090831
"Wave_1748",-0.217499843638238
"Wave_1749",-0.129984341893323
"Wave_1750",-0.0373145274061827
"Wave_1751",0.040500597136794
"Wave_1752",0.112787609967911
"Wave_1753",0.170561075381948
"Wave_1754",0.211154617158488
"Wave_1755",0.245610627776995
"Wave_1756",0.275056831557943
"Wave_1757",0.29199851503979
"Wave_1758",0.298158082924675
"Wave_1759",0.305585743349656
"Wave_1760",0.284074135626095
"Wave_1761",0.261848210112652
"Wave_1762",0.243956753532298
"Wave_1763",0.222761179905332
"Wave_1764",0.209632653104457
"Wave_1765",0.211245306446096
"Wave_1766",0.207547980111403
"Wave_1767",0.206522800049948
"Wave_1768",0.223669932748925
"Wave_1769",0.245059099026313
"Wave_1770",0.266751057943533
"Wave_1771",0.295168569953637
"Wave_1772",0.324795103385483
"Wave_1773",0.356654889383518
"Wave_1774",0.382195823420071
"Wave_1775",0.413065432580321
"Wave_1776",0.442684673108557
"Wave_1777",0.451103016253112
"Wave_1778",0.466423314152789
"Wave_1779",0.475391459337708
"Wave_1780",0.472535055040007
"Wave_1781",0.460550368428925
"Wave_1782",0.4481316946348
"Wave_1783",0.428521315418023
"Wave_1784",0.406086219779997
"Wave_1785",0.382993444327154
"Wave_1786",0.353066465351006
"Wave_1787",0.312039265304607
"Wave_1788",0.271719393837582
"Wave_1789",0.230453156856375
"Wave_1790",0.193720792897592
"Wave_1791",0.154762604598361
"Wave_1792",0.120346307231401
"Wave_1793",0.0898799842453241
"Wave_1794",0.0567532505664459
"Wave_1795",0.0250488622296203
"Wave_1796",-0.00361919933965571
"Wave_1797",-0.0401795993223827
"Wave_1798",-0.0884882224803188
"Wave_1799",-0.12667822626103
"Wave_1800",-0.15403571968029
"Wave_1801",-0.164641270501947
"Wave_1802",-0.157393160617458
"Wave_1803",-0.143809634403805
"Wave_1804",-0.138286650910955
"Wave_1805",-0.127904940157252
"Wave_1806",-0.0990817233854746
"Wave_1807",-0.0843818498003596
"Wave_1808",-0.0832028048768903
"Wave_1809",-0.0863849787844087
"Wave_1810",-0.0921157049959408
"Wave_1811",-0.0985596997259656
"Wave_1812",-0.135687926699447
"Wave_1813",-0.182268062738652
"Wave_1814",-0.204314242910377
"Wave_1815",-0.219347214357332
"Wave_1816",-0.236893050185016
"Wave_1817",-0.252847340578041
"Wave_1818",-0.248771326395063
"Wave_1819",-0.264172783951946
"Wave_1820",-0.293167909806173
"Wave_1821",-0.274126803395719
"Wave_1822",-0.262126123229711
"Wave_1823",-0.265011241438886
"Wave_1824",-0.27654021274239
"Wave_1825",-0.270518724588287
"Wave_1826",-0.292734126436001
"Wave_1827",-0.313140254040885
"Wave_1828",-0.317932873460232
"Wave_1829",-0.339285581179233
"Wave_1830",-0.340565566628921
"Wave_1831",-0.323291471468129
"Wave_1832",-0.326892301898526
"Wave_1833",-0.337174308221106
"Wave_1834",-0.341005253540571
"Wave_1835",-0.356488629495238
"Wave_1836",-0.365197735322966
"Wave_1837",-0.360181767302767
"Wave_1838",-0.347253146578559
"Wave_1839",-0.339170716465961
"Wave_1840",-0.344205474041074
"Wave_1841",-0.335498448858868
"Wave_1842",-0.319796213975214
"Wave_1843",-0.303252168643242
"Wave_1844",-0.275352431452114
"Wave_1845",-0.257901581863146
"Wave_1846",-0.250546208538134
"Wave_1847",-0.236175073349951
"Wave_1848",-0.22414952872617
"Wave_1849",-0.18827686091859
"Wave_1850",-0.159596023253739
"Wave_1851",-0.117260691723727
"Wave_1852",-0.104918812670859
"Wave_1853",-0.120387644279273
"Wave_1854",-0.106546041267006
"Wave_1855",-0.0984731949867187
"Wave_1856",-0.0715767733699034
"Wave_1857",-0.026894713139863
"Wave_1858",0.000396205945292355
"Wave_1859",0.00588786888333701
"Wave_1860",0.0221249077793752
"Wave_1861",0.0360460100485075
"Wave_1862",0.0556821224247079
"Wave_1863",0.0656183730576073
"Wave_1864",0.0688987462946036
"Wave_1865",0.0696824584707049
"Wave_1866",0.0889696907048962
"Wave_1867",0.0996842018088178
"Wave_1868",0.106350475049416
"Wave_1869",0.135171236958323
"Wave_1870",0.170204072290105
"Wave_1871",0.21712892960495
"Wave_1872",0.24704339401503
"Wave_1873",0.286875752758635
"Wave_1874",0.318641667211743
"Wave_1875",0.32835354377891
"Wave_1876",0.341259751071466
"Wave_1877",0.379507862636429
"Wave_1878",0.411047406444115
"Wave_1879",0.439900115186349
"Wave_1880",0.468393160845932
"Wave_1881",0.490325256265966
"Wave_1882",0.515967053776184
"Wave_1883",0.526832543576762
"Wave_1884",0.510966276516336
"Wave_1885",0.521047426226331
"Wave_1886",0.545322026346338
"Wave_1887",0.553998404211185
"Wave_1888",0.559785993512094
"Wave_1889",0.569672743226842
"Wave_1890",0.587988845454217
"Wave_1891",0.594918494908866
"Wave_1892",0.617728237501234
"Wave_1893",0.675816028272819
"Wave_1894",0.705426027493759
"Wave_1895",0.703633216611716
"Wave_1896",0.729057705512696
"Wave_1897",0.762273145974516
"Wave_1898",0.803798026872034
"Wave_1899",0.831891990469168
"Wave_1900",0.874125943997348
"Wave_1901",0.901329751342291
"Wave_1902",0.908790579376259
"Wave_1903",0.920397193090055
"Wave_1904",0.936626288505236
"Wave_1905",0.944438031882226
"Wave_1906",0.951389286008133
"Wave_1907",0.942759018101068
"Wave_1908",0.924394258643641
"Wave_1909",0.899865981453575
"Wave_1910",0.869946598577199
"Wave_1911",0.828291918556384
"Wave_1912",0.780644836303946
"Wave_1913",0.727617222471086
"Wave_1914",0.672278850569665
"Wave_1915",0.607008305834708
"Wave_1916",0.538917881001963
"Wave_1917",0.465477446135384
"Wave_1918",0.396692201222128
"Wave_1919",0.32585830242169
"Wave_1920",0.250492593825492
"Wave_1921",0.179780170669886
"Wave_1922",0.112845351591674
"Wave_1923",0.046880281790199
"Wave_1924",-0.0212201449498725
"Wave_1925",-0.0826204243759164
"Wave_1926",-0.134468888590118
"Wave_1927",-0.191557613481686
"Wave_1928",-0.262631052486793
"Wave_1929",-0.311040712561562
"Wave_1930",-0.348639553896398
"Wave_1931",-0.383222369054775
"Wave_1932",-0.411048453911703
"Wave_1933",-0.419606568997835
"Wave_1934",-0.437352928324756
"Wave_1935",-0.459824395594017
"Wave_1936",-0.473892319840224
"Wave_1937",-0.493668594631921
"Wave_1938",-0.490418244482379
"Wave_1939",-0.469702078245944
"Wave_1940",-0.451289624801266
"Wave_1941",-0.419027176992126
"Wave_1942",-0.379962509167067
"Wave_1943",-0.349850415681541
"Wave_1944",-0.332756906813706
"Wave_1945",-0.295563568336994
"Wave_1946",-0.237336579041943
"Wave_1947",-0.204886487299162
"Wave_1948",-0.185506814878497
"Wave_1949",-0.149057942049666
"Wave_1950",-0.110076718720558
"Wave_1951",-0.0836124872324511
"Wave_1952",-0.0491973396413242
"Wave_1953",-0.0160270772601876
"Wave_1954",0.0108003078854449
"Wave_1955",0.0209392069184503
"Wave_1956",0.0291430278536375
"Wave_1957",0.0389197834755833
"Wave_1958",0.0483401116509342
"Wave_1959",0.0582066397953906
"Wave_1960",0.0429272209684864
"Wave_1961",0.0153285391720402
"Wave_1962",-0.00490294771608672
"Wave_1963",-0.04368301431215
"Wave_1964",-0.0849020489008803
"Wave_1965",-0.125301734839277
"Wave_1966",-0.145231444416401
"Wave_1967",-0.193109197156403
"Wave_1968",-0.263383391881836
"Wave_1969",-0.329223285640284
"Wave_1970",-0.407859862991243
"Wave_1971",-0.468973965362139
"Wave_1972",-0.526762805076369
"Wave_1973",-0.587155290568715
"Wave_1974",-0.642748740730045
"Wave_1975",-0.690781313035263
"Wave_1976",-0.748150165669903
"Wave_1977",-0.791532457125304
"Wave_1978",-0.82403643191779
"Wave_1979",-0.839619937956963
"Wave_1980",-0.852812177775593
"Wave_1981",-0.861960807769357
"Wave_1982",-0.858922201516521
"Wave_1983",-0.847731797259751
"Wave_1984",-0.823968094393914
"Wave_1985",-0.778221297263
"Wave_1986",-0.742869759751094
"Wave_1987",-0.708789970715109
"Wave_1988",-0.661269777878334
"Wave_1989",-0.600355760378558
"Wave_1990",-0.561104454548596
"Wave_1991",-0.498501117635849
"Wave_1992",-0.414215575583064
"Wave_1993",-0.341900942271342
"Wave_1994",-0.27024137654024
"Wave_1995",-0.197146587613392
"Wave_1996",-0.118668016937879
"Wave_1997",-0.0488710147157009
"Wave_1998",0.0159328350005665
"Wave_1999",0.0828271170859081
"Wave_2000",0.156243360471812
"Wave_2001",0.213423622458762
"Wave_2002",0.265688423443056
"Wave_2003",0.310195491169155
"Wave_2004",0.348563744066008
"Wave_2005",0.367954312196244
"Wave_2006",0.399422596665039
"Wave_2007",0.43546372567987
"Wave_2008",0.463381695012174
"Wave_2009",0.484921968921506
"Wave_2010",0.511258166327551
"Wave_2011",0.548927279187895
"Wave_2012",0.564166361155206
"Wave_2013",0.568866808259722
"Wave_2014",0.573070092416213
"Wave_2015",0.557556707683306
"Wave_2016",0.542183605170913
"Wave_2017",0.53813961189304
"Wave_2018",0.548568546484034
"Wave_2019",0.543042222824078
"Wave_2020",0.533376932156589
"Wave_2021",0.527655672978664
"Wave_2022",0.518626799170314
"Wave_2023",0.506300729845758
"Wave_2024",0.501630890722306
"Wave_2025",0.484962519316618
"Wave_2026",0.455139835619379
"Wave_2027",0.428402935231757
"Wave_2028",0.404803407900048
"Wave_2029",0.370825555496039
"Wave_2030",0.328880659024498
"Wave_2031",0.282556751424945
"Wave_2032",0.225728480139408
"Wave_2033",0.153929537507944
"Wave_2034",0.0883474661610202
"Wave_2035",0.0195578490149673
"Wave_2036",-0.0534832904187567
"Wave_2037",-0.121361302120963
"Wave_2038",-0.205402925833945
"Wave_2039",-0.303687299960745
"Wave_2040",-0.401076960463581
"Wave_2041",-0.508223145944807
"Wave_2042",-0.614432528001719
"Wave_2043",-0.72339011532846
"Wave_2044",-0.829342471987439
"Wave_2045",-0.934291848038377
"Wave_2046",-1.043668809995
"Wave_2047",-1.14164053569253
"Wave_2048",-1.2331571217436
"Wave_2049",-1.32216652240939
"Wave_2050",-1.42167072979123
"Wave_2051",-1.48568891286712
"Wave_2052",-1.52952481428515
"Wave_2053",-1.56920896642938
"Wave_2054",-1.59017070388989
"Wave_2055",-1.59387592371079
"Wave_2056",-1.59894206497487
"Wave_2057",-1.59079711676145
"Wave_2058",-1.56374860110303
"Wave_2059",-1.51405261159419
"Wave_2060",-1.45884000753284
"Wave_2061",-1.39692777582559
"Wave_2062",-1.3121564993881
"Wave_2063",-1.19815761950816
"Wave_2064",-1.09545692785455
"Wave_2065",-0.984929972012668
"Wave_2066",-0.866342202662762
"Wave_2067",-0.743478953042181
"Wave_2068",-0.622833256632006
"Wave_2069",-0.491134269683806
"Wave_2070",-0.355304480590269
"Wave_2071",-0.246363708601968
"Wave_2072",-0.134053084757943
"Wave_2073",-0.0107759146440205
"Wave_2074",0.0976518507438269
"Wave_2075",0.201048313915859
"Wave_2076",0.305394035901476
"Wave_2077",0.396485506418958
"Wave_2078",0.464504006239958
"Wave_2079",0.547672277389627
"Wave_2080",0.640671749580904
"Wave_2081",0.716109178716989
"Wave_2082",0.78503752269986
"Wave_2083",0.855494486128192
"Wave_2084",0.924222035663049
"Wave_2085",0.97419046050481
"Wave_2086",1.01325920124019
"Wave_2087",1.06492859710802
"Wave_2088",1.10557248991451
"Wave_2089",1.13098518678175
"Wave_2090",1.16684273049796
"Wave_2091",1.21117788354366
"Wave_2092",1.250738767221
"Wave_2093",1.29444623073333
"Wave_2094",1.32347979088519
"Wave_2095",1.34840337600276
"Wave_2096",1.37133910094927
"Wave_2097",1.37903886860467
"Wave_2098",1.38963123362324
"Wave_2099",1.39797624627342
"Wave_2100",1.413091142358
"Wave_2101",1.43319722982732
"Wave_2102",1.4454512775941
"Wave_2103",1.45248809945514
"Wave_2104",1.47235432012488
"Wave_2105",1.4891861217464
"Wave_2106",1.50556408539207
"Wave_2107",1.51750538363981
"Wave_2108",1.52699672193053
"Wave_2109",1.5496707875138
"Wave_2110",1.58204595069451
"Wave_2111",1.59350073832577
"Wave_2112",1.60372036818769
"Wave_2113",1.62137190965082
"Wave_2114",1.61428702109571
"Wave_2115",1.62695699234026
"Wave_2116",1.66416283926495
"Wave_2117",1.70158258143132
"Wave_2118",1.72822841877145
"Wave_2119",1.74602813553387
"Wave_2120",1.75041631280972
"Wave_2121",1.76395010277002
"Wave_2122",1.77365891573756
"Wave_2123",1.78855234110564
"Wave_2124",1.80040475281728
"Wave_2125",1.82395472915036
"Wave_2126",1.82549062056886
"Wave_2127",1.81268875673283
"Wave_2128",1.80103352156713
"Wave_2129",1.7790962710973
"Wave_2130",1.75920120149728
"Wave_2131",1.75667062219188
"Wave_2132",1.72172033146186
"Wave_2133",1.65635667070566
"Wave_2134",1.60582286816194
"Wave_2135",1.55200010713552
"Wave_2136",1.4784164035909
"Wave_2137",1.41220336323613
"Wave_2138",1.35561086303411
"Wave_2139",1.28210596195244
"Wave_2140",1.2024662033948
"Wave_2141",1.12520235425428
"Wave_2142",1.05358279810089
"Wave_2143",0.971036998209624
"Wave_2144",0.874166916769448
"Wave_2145",0.793716989783378
"Wave_2146",0.717330748776497
"Wave_2147",0.644567068278192
"Wave_2148",0.586308198028479
"Wave_2149",0.512313916664077
"Wave_2150",0.434810373917481
"Wave_2151",0.351808592855045
"Wave_2152",0.25737270877752
"Wave_2153",0.168539842715481
"Wave_2154",0.0778448791020089
"Wave_2155",-0.0110559604858044
"Wave_2156",-0.113699784739984
"Wave_2157",-0.215232023883661
"Wave_2158",-0.311502372672639
"Wave_2159",-0.417109341648648
"Wave_2160",-0.50488096538098
"Wave_2161",-0.573864037658374
"Wave_2162",-0.656602054876833
"Wave_2163",-0.741009193993061
"Wave_2164",-0.815371722890327
"Wave_2165",-0.891359079021375
"Wave_2166",-0.964385727309539
"Wave_2167",-1.0269340745269
"Wave_2168",-1.08922745470416
"Wave_2169",-1.16312779781756
"Wave_2170",-1.21561378184656
"Wave_2171",-1.24616271132389
"Wave_2172",-1.28741970088991
"Wave_2173",-1.33481348463339
"Wave_2174",-1.35955633604501
"Wave_2175",-1.36581557774631
"Wave_2176",-1.39029342634095
"Wave_2177",-1.41563903440994
"Wave_2178",-1.41315493909456
"Wave_2179",-1.41493132857121
"Wave_2180",-1.42515544257998
"Wave_2181",-1.43679421160002
"Wave_2182",-1.43571491212626
"Wave_2183",-1.44484794275925
"Wave_2184",-1.47582111602882
"Wave_2185",-1.48409567929027
"Wave_2186",-1.47895392652936
"Wave_2187",-1.48174317571508
"Wave_2188",-1.47906084399429
"Wave_2189",-1.48251991128027
"Wave_2190",-1.49859265342198
"Wave_2191",-1.48782355930371
"Wave_2192",-1.45912610460653
"Wave_2193",-1.4493093296207
"Wave_2194",-1.42667765009114
"Wave_2195",-1.41994149044085
"Wave_2196",-1.43611251944359
"Wave_2197",-1.42693236925049
"Wave_2198",-1.42016805088345
"Wave_2199",-1.4106378252184
"Wave_2200",-1.39186815043526
"Wave_2201",-1.38744424948499
"Wave_2202",-1.3889555998998
"Wave_2203",-1.3777003186024
"Wave_2204",-1.36987223671518
"Wave_2205",-1.37296777363726
"Wave_2206",-1.36871142648642
"Wave_2207",-1.35840248371571
"Wave_2208",-1.34327707013771
"Wave_2209",-1.32756308146295
"Wave_2210",-1.30326690991949
"Wave_2211",-1.26425175397612
"Wave_2212",-1.23459917540636
"Wave_2213",-1.20623637025205
"Wave_2214",-1.17710187931014
"Wave_2215",-1.16088012144675
"Wave_2216",-1.12349602114994
"Wave_2217",-1.07107657733516
"Wave_2218",-1.02263344630891
"Wave_2219",-0.970633104243673
"Wave_2220",-0.916747511124325
"Wave_2221",-0.863948163235947
"Wave_2222",-0.811130076784024
"Wave_2223",-0.750631192444284
"Wave_2224",-0.67383069326997
"Wave_2225",-0.616352077896571
"Wave_2226",-0.581619201205151
"Wave_2227",-0.521966949882071
"Wave_2228",-0.455696340394779
"Wave_2229",-0.390416517021504
"Wave_2230",-0.307423655456367
"Wave_2231",-0.24307036272912
"Wave_2232",-0.206156938791729
"Wave_2233",-0.142919942449962
"Wave_2234",-0.0659898512889299
"Wave_2235",0.0132034278869126
"Wave_2236",0.113427505361792
"Wave_2237",0.194669105432765
"Wave_2238",0.276182424343846
"Wave_2239",0.331515888677349
"Wave_2240",0.359137730183092
"Wave_2241",0.404662269546974
"Wave_2242",0.451447256300706
"Wave_2243",0.481262896011137
"Wave_2244",0.50533576632221
"Wave_2245",0.53592001379657
"Wave_2246",0.555679002557229
"Wave_2247",0.570252955187442
"Wave_2248",0.604629270884358
"Wave_2249",0.620689364395047
"Wave_2250",0.603992251079757
"Wave_2251",0.577998620560471
"Wave_2252",0.544346723402887
"Wave_2253",0.51485412418658
"Wave_2254",0.482315251265615
"Wave_2255",0.446281435847145
"Wave_2256",0.414356008461457
"Wave_2257",0.385100590625096
"Wave_2258",0.34151169561518
"Wave_2259",0.292970453648063
"Wave_2260",0.2452717782676
"Wave_2261",0.186977444168832
"Wave_2262",0.139246144614187
"Wave_2263",0.0999594028542599
"Wave_2264",0.0549807445551597
"Wave_2265",0.00190459978841109
"Wave_2266",-0.0443289334571824
"Wave_2267",-0.0746316507809086
"Wave_2268",-0.127690348382123
"Wave_2269",-0.193377677739216
"Wave_2270",-0.247786615571794
"Wave_2271",-0.320403889075727
"Wave_2272",-0.37721623471374
"Wave_2273",-0.40794560403285
"Wave_2274",-0.45435592449998
"Wave_2275",-0.51549222506333
"Wave_2276",-0.556520998319657
"Wave_2277",-0.598827349239005
"Wave_2278",-0.645671048138008
"Wave_2279",-0.660953818636912
"Wave_2280",-0.67662098947756
"Wave_2281",-0.70900117156767
"Wave_2282",-0.726598431713686
"Wave_2283",-0.75599976850572
"Wave_2284",-0.789900724243658
"Wave_2285",-0.771656423668148
"Wave_2286",-0.731421238553831
"Wave_2287",-0.690205656680756
"Wave_2288",-0.62927295235507
"Wave_2289",-0.574017402628235
"Wave_2290",-0.529433949596009
"Wave_2291",-0.463781049475815
"Wave_2292",-0.368787010545975
"Wave_2293",-0.312051840767279
"Wave_2294",-0.27345118973955
"Wave_2295",-0.210361312740644
"Wave_2296",-0.140956597437886
"Wave_2297",-0.103272501582409
"Wave_2298",-0.0540844977917631
"Wave_2299",-0.0272466691604983
"Wave_2300",-0.0355605504683347
"Wave_2301",-0.0542856508795153
"Wave_2302",-0.0626488431799399
"Wave_2303",-0.120498169111906
"Wave_2304",-0.2287650585055
"Wave_2305",-0.335676221489089
"Wave_2306",-0.471888256461271
"Wave_2307",-0.599658314511989
"Wave_2308",-0.755526035634008
"Wave_2309",-0.879737036463872
"Wave_2310",-0.993246150037708
"Wave_2311",-1.09488006574458
"Wave_2312",-1.20594785412545
"Wave_2313",-1.25572031440739
"Wave_2314",-1.2696914136116
"Wave_2315",-1.25987829208167
"Wave_2316",-1.1998363476739
"Wave_2317",-1.09964928473116
"Wave_2318",-0.979927740729736
"Wave_2319",-0.853568069939399
"Wave_2320",-0.692629877275847
"Wave_2321",-0.51936881546364
"Wave_2322",-0.366742019003308
"Wave_2323",-0.196106673516817
"Wave_2324",-0.0514294590768814
"Wave_2325",0.044279033275621
"Wave_2326",0.131164699717516
"Wave_2327",0.228398699781529
"Wave_2328",0.280228373872239
"Wave_2329",0.35747720007925
"Wave_2330",0.463953938644281
"Wave_2331",0.505440625512496
"Wave_2332",0.540788181150208
"Wave_2333",0.578890453370185
"Wave_2334",0.595724308740636
"Wave_2335",0.562238427957953
"Wave_2336",0.563055820592874
"Wave_2337",0.572675259139812
