"","SAMPLE_dN15.14.comps"
"Wave_1390",5.78459461609784
"Wave_1391",6.1016110783095
"Wave_1392",6.35863917418473
"Wave_1393",6.74878448641395
"Wave_1394",7.00581288393519
"Wave_1395",7.09978433515085
"Wave_1396",7.22000257777576
"Wave_1397",7.36339091589525
"Wave_1398",7.39558934132121
"Wave_1399",7.36960529509939
"Wave_1400",7.1485783325753
"Wave_1401",7.09543183827258
"Wave_1402",7.13668746674154
"Wave_1403",6.78202023122342
"Wave_1404",6.16795380212452
"Wave_1405",5.50365987185802
"Wave_1406",4.63802811390778
"Wave_1407",3.69308745986147
"Wave_1408",2.83135590273893
"Wave_1409",1.59267124000318
"Wave_1410",0.105118645279252
"Wave_1411",-0.915667701409029
"Wave_1412",-1.632016623827
"Wave_1413",-2.48841630246867
"Wave_1414",-3.34020990275172
"Wave_1415",-4.05987193929237
"Wave_1416",-4.67642138234846
"Wave_1417",-5.57424021358518
"Wave_1418",-6.6036340288309
"Wave_1419",-7.35956669637299
"Wave_1420",-8.06018779865621
"Wave_1421",-8.50277047464864
"Wave_1422",-8.68567278563444
"Wave_1423",-8.74715634864793
"Wave_1424",-8.6559400166624
"Wave_1425",-8.68318899049148
"Wave_1426",-8.71476600977141
"Wave_1427",-8.29798265353955
"Wave_1428",-7.78874427727614
"Wave_1429",-7.22194622993712
"Wave_1430",-6.26377410722243
"Wave_1431",-5.3571057185534
"Wave_1432",-4.4840408280846
"Wave_1433",-3.6041884174338
"Wave_1434",-2.76869804471812
"Wave_1435",-1.39181128538688
"Wave_1436",-0.16724881000578
"Wave_1437",0.904625352738857
"Wave_1438",2.29670747072674
"Wave_1439",3.64900072840808
"Wave_1440",4.60683661859259
"Wave_1441",5.4581580249561
"Wave_1442",6.52471670612149
"Wave_1443",7.25970827827519
"Wave_1444",7.71156079623106
"Wave_1445",8.16837937387082
"Wave_1446",8.39875293417641
"Wave_1447",8.91222974385332
"Wave_1448",9.21347075807799
"Wave_1449",9.10392417347685
"Wave_1450",9.34038703101271
"Wave_1451",9.10979923000638
"Wave_1452",8.5525288874806
"Wave_1453",8.47066902522864
"Wave_1454",8.52138090063274
"Wave_1455",8.44388420942422
"Wave_1456",7.92525450700389
"Wave_1457",7.32632518356163
"Wave_1458",7.09582324964382
"Wave_1459",6.53467211985601
"Wave_1460",5.88250996023044
"Wave_1461",5.63941103236557
"Wave_1462",5.39684450925214
"Wave_1463",4.87302474371888
"Wave_1464",4.34540503565
"Wave_1465",4.07989108117656
"Wave_1466",3.82530603586803
"Wave_1467",3.36179941750297
"Wave_1468",2.94702337581132
"Wave_1469",2.79184534786148
"Wave_1470",2.45027087909618
"Wave_1471",1.7943928321185
"Wave_1472",1.33347237628547
"Wave_1473",0.893814805181557
"Wave_1474",0.793610117437389
"Wave_1475",0.930434208058383
"Wave_1476",0.935919658777097
"Wave_1477",1.12734089730714
"Wave_1478",1.29179890108579
"Wave_1479",1.08188002926823
"Wave_1480",0.8111088205599
"Wave_1481",0.687513044755866
